GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,03 Mar 2002,Minardi Asiatech,7,0
Malaysia,17 Mar 2002,Minardi Asiatech,DNF,0
Brazil,31 Mar 2002,Minardi Asiatech,13,0
Austria,12 May 2002,Minardi Asiatech,DNF,0
Monaco,26 May 2002,Minardi Asiatech,DNF,0
Canada,09 Jun 2002,Minardi Asiatech,14,0
Europe,23 Jun 2002,Minardi Asiatech,DNF,0
France,21 Jul 2002,Minardi Asiatech,10,0
Italy,15 Sep 2002,Minardi Asiatech,13,0
United States,29 Sep 2002,Minardi Asiatech,DNF,0
Japan,13 Oct 2002,Minardi Asiatech,DNF,0
