GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,03 Mar 2002,Williams BMW,2,6
Malaysia,17 Mar 2002,Williams BMW,2,6
Brazil,31 Mar 2002,Williams BMW,5,2
San Marino,14 Apr 2002,Williams BMW,4,3
Spain,28 Apr 2002,Williams BMW,2,6
Austria,12 May 2002,Williams BMW,3,4
Monaco,26 May 2002,Williams BMW,DNF,0
Canada,09 Jun 2002,Williams BMW,DNF,0
Europe,23 Jun 2002,Williams BMW,DNF,0
Great Britain,07 Jul 2002,Williams BMW,3,4
France,21 Jul 2002,Williams BMW,4,3
Germany,28 Jul 2002,Williams BMW,2,6
Hungary,18 Aug 2002,Williams BMW,11,0
Belgium,01 Sep 2002,Williams BMW,3,4
Italy,15 Sep 2002,Williams BMW,DNF,0
United States,29 Sep 2002,Williams BMW,4,3
Japan,13 Oct 2002,Williams BMW,4,3
