GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 2003,Jaguar Cosworth,DNF,0
Malaysia,23 Mar 2003,Jaguar Cosworth,DNF,0
Brazil,06 Apr 2003,Jaguar Cosworth,DNF,0
San Marino,20 Apr 2003,Jaguar Cosworth,14,0
Spain,04 May 2003,Jaguar Cosworth,DNF,0
Austria,18 May 2003,Jaguar Cosworth,9,0
Monaco,01 Jun 2003,Jaguar Cosworth,DNF,0
Canada,15 Jun 2003,Jaguar Cosworth,DNF,0
Europe,29 Jun 2003,Jaguar Cosworth,10,0
France,06 Jul 2003,Jaguar Cosworth,10,0
Great Britain,20 Jul 2003,Jaguar Cosworth,DNF,0
