GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 2003,Toyota,DNF,0
Malaysia,23 Mar 2003,Toyota,11,0
Brazil,06 Apr 2003,Toyota,10,0
San Marino,20 Apr 2003,Toyota,12,0
Spain,04 May 2003,Toyota,6,3
Austria,18 May 2003,Toyota,10,0
Monaco,01 Jun 2003,Toyota,9,0
Canada,15 Jun 2003,Toyota,DNF,0
Europe,29 Jun 2003,Toyota,DNF,0
France,06 Jul 2003,Toyota,11,0
Great Britain,20 Jul 2003,Toyota,7,2
Germany,03 Aug 2003,Toyota,6,3
Hungary,24 Aug 2003,Toyota,11,0
Italy,14 Sep 2003,Toyota,DNF,0
United States,28 Sep 2003,Toyota,9,0
Japan,12 Oct 2003,Toyota,7,2
