GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 2003,BAR Honda,10,0
Malaysia,23 Mar 2003,BAR Honda,7,2
Brazil,06 Apr 2003,BAR Honda,DNF,0
San Marino,20 Apr 2003,BAR Honda,8,1
Spain,04 May 2003,BAR Honda,9,0
Austria,18 May 2003,BAR Honda,4,5
Canada,15 Jun 2003,BAR Honda,DNF,0
Europe,29 Jun 2003,BAR Honda,7,2
France,06 Jul 2003,BAR Honda,DNF,0
Great Britain,20 Jul 2003,BAR Honda,8,1
Germany,03 Aug 2003,BAR Honda,8,1
Hungary,24 Aug 2003,BAR Honda,10,0
Italy,14 Sep 2003,BAR Honda,DNF,0
United States,28 Sep 2003,BAR Honda,DNF,0
Japan,12 Oct 2003,BAR Honda,4,5
