GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 2003,Jordan Ford,DNF,0
Malaysia,23 Mar 2003,Jordan Ford,10,0
Brazil,06 Apr 2003,Jordan Ford,DNF,0
San Marino,20 Apr 2003,Jordan Ford,DNF,0
Spain,04 May 2003,Jordan Ford,8,1
Austria,18 May 2003,Jordan Ford,11,0
Monaco,01 Jun 2003,Jordan Ford,12,0
Canada,15 Jun 2003,Jordan Ford,DNF,0
Europe,29 Jun 2003,Jordan Ford,11,0
France,06 Jul 2003,Jordan Ford,15,0
Great Britain,20 Jul 2003,Jordan Ford,13,0
Germany,03 Aug 2003,Jordan Ford,DNF,0
United States,28 Sep 2003,Jordan Ford,DNF,0
Japan,12 Oct 2003,Jordan Ford,14,0
