GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,07 Mar 2004,Jordan Ford,14,0
Malaysia,21 Mar 2004,Jordan Ford,13,0
Bahrain,04 Apr 2004,Jordan Ford,16,0
San Marino,25 Apr 2004,Jordan Ford,DNF,0
Spain,09 May 2004,Jordan Ford,DNF,0
Monaco,23 May 2004,Jordan Ford,DNF,0
Europe,30 May 2004,Jordan Ford,13,0
United States,20 Jun 2004,Jordan Ford,DNF,0
France,04 Jul 2004,Jordan Ford,17,0
Great Britain,11 Jul 2004,Jordan Ford,DNF,0
Germany,25 Jul 2004,Jordan Ford,15,0
Hungary,15 Aug 2004,Jordan Ford,DNF,0
Belgium,29 Aug 2004,Jordan Ford,DNF,0
Italy,12 Sep 2004,Jordan Ford,DNF,0
