POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,70,1:35:26.131,10
2,2,Rubens Barrichello,Ferrari,70,+4.696s,8
3,8,Fernando Alonso,Renault,70,+44.599s,6
4,3,Juan Pablo Montoya,Williams BMW,70,+62.613s,5
5,9,Jenson Button,BAR Honda,70,+67.439s,4
6,10,Takuma Sato,BAR Honda,69,+1 lap,3
7,4,Antonio Pizzonia,Williams BMW,69,+1 lap,2
8,11,Giancarlo Fisichella,Sauber Petronas,69,+1 lap,1
9,5,David Coulthard,McLaren Mercedes,69,+1 lap,0
10,14,Mark Webber,Jaguar Cosworth,69,+1 lap,0
11,17,Olivier Panis,Toyota,69,+1 lap,0
12,18,Nick Heidfeld,Jordan Ford,68,+2 laps,0
13,15,Christian Klien,Jaguar Cosworth,68,+2 laps,0
14,20,Gianmaria Bruni,Minardi Cosworth,66,+4 laps,0
15,21,Zsolt Baumgartner,Minardi Cosworth,65,+5 laps,0
NC,19,Giorgio Pantano,Jordan Ford,48,DNF,0
NC,7,Jarno Trulli,Renault,41,DNF,0
NC,16,Ricardo Zonta,Toyota,31,DNF,0
NC,12,Felipe Massa,Sauber Petronas,21,DNF,0
NC,6,Kimi Räikkönen,McLaren Mercedes,13,DNF,0
