GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,06 Mar 2005,Minardi Cosworth,17,0
Malaysia,20 Mar 2005,Minardi Cosworth,DNF,0
Bahrain,03 Apr 2005,Minardi Cosworth,12,0
San Marino,24 Apr 2005,Minardi Cosworth,DNF,0
Spain,08 May 2005,Minardi Cosworth,DNF,0
Monaco,22 May 2005,Minardi Cosworth,DNF,0
Europe,29 May 2005,Minardi Cosworth,18,0
Canada,12 Jun 2005,Minardi Cosworth,DNF,0
United States,19 Jun 2005,Minardi Cosworth,6,3
France,03 Jul 2005,Minardi Cosworth,DNF,0
Great Britain,10 Jul 2005,Minardi Cosworth,19,0
