GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,12 Mar 2006,RBR Ferrari,8,1
Malaysia,19 Mar 2006,RBR Ferrari,DNF,0
Australia,02 Apr 2006,RBR Ferrari,DNF,0
San Marino,23 Apr 2006,RBR Ferrari,DNF,0
Europe,07 May 2006,RBR Ferrari,DNF,0
Spain,14 May 2006,RBR Ferrari,13,0
Monaco,28 May 2006,RBR Ferrari,DNF,0
Great Britain,11 Jun 2006,RBR Ferrari,14,0
Canada,25 Jun 2006,RBR Ferrari,11,0
United States,02 Jul 2006,RBR Ferrari,DNF,0
France,16 Jul 2006,RBR Ferrari,12,0
Germany,30 Jul 2006,RBR Ferrari,8,1
Hungary,06 Aug 2006,RBR Ferrari,DNF,0
Turkey,27 Aug 2006,RBR Ferrari,11,0
Italy,10 Sep 2006,RBR Ferrari,11,0
