GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,12 Mar 2006,Renault,1,10
Malaysia,19 Mar 2006,Renault,2,8
Australia,02 Apr 2006,Renault,1,10
San Marino,23 Apr 2006,Renault,2,8
Europe,07 May 2006,Renault,2,8
Spain,14 May 2006,Renault,1,10
Monaco,28 May 2006,Renault,1,10
Great Britain,11 Jun 2006,Renault,1,10
Canada,25 Jun 2006,Renault,1,10
United States,02 Jul 2006,Renault,5,4
France,16 Jul 2006,Renault,2,8
Germany,30 Jul 2006,Renault,5,4
Hungary,06 Aug 2006,Renault,DNF,0
Turkey,27 Aug 2006,Renault,2,8
Italy,10 Sep 2006,Renault,DNF,0
China,01 Oct 2006,Renault,2,8
Japan,08 Oct 2006,Renault,1,10
Brazil,22 Oct 2006,Renault,2,8
