GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,12 Mar 2006,STR Cosworth,13,0
Malaysia,19 Mar 2006,STR Cosworth,DNF,0
Australia,02 Apr 2006,STR Cosworth,9,0
San Marino,23 Apr 2006,STR Cosworth,15,0
Europe,07 May 2006,STR Cosworth,11,0
Spain,14 May 2006,STR Cosworth,DNF,0
Monaco,28 May 2006,STR Cosworth,13,0
Great Britain,11 Jun 2006,STR Cosworth,DNF,0
Canada,25 Jun 2006,STR Cosworth,10,0
United States,02 Jul 2006,STR Cosworth,DNF,0
France,16 Jul 2006,STR Cosworth,10,0
Germany,30 Jul 2006,STR Cosworth,12,0
Hungary,06 Aug 2006,STR Cosworth,11,0
Turkey,27 Aug 2006,STR Cosworth,13,0
Italy,10 Sep 2006,STR Cosworth,13,0
China,01 Oct 2006,STR Cosworth,14,0
Japan,08 Oct 2006,STR Cosworth,DNF,0
Brazil,22 Oct 2006,STR Cosworth,11,0
