POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Michael Schumacher,Ferrari,60,1:35:58.765,10
2,1,Fernando Alonso,Renault,60,+3.751s,8
3,6,Felipe Massa,Ferrari,60,+4.447s,6
4,3,Kimi Räikkönen,McLaren Mercedes,60,+4.879s,5
5,11,Rubens Barrichello,Honda,60,+72.586s,4
6,2,Giancarlo Fisichella,Renault,60,+74.116s,3
7,10,Nico Rosberg,Williams Cosworth,60,+74.565s,2
8,17,Jacques Villeneuve,Sauber BMW,60,+89.364s,1
9,8,Jarno Trulli,Toyota,59,+1 lap,0
10,16,Nick Heidfeld,Sauber BMW,59,+1 lap,0
11,21,Scott Speed,STR Cosworth,59,+1 lap,0
12,18,Tiago Monteiro,MF1 Toyota,59,+1 lap,0
13,19,Christijan Albers,MF1 Toyota,59,+1 lap,0
NC,7,Ralf Schumacher,Toyota,52,DNF,0
NC,4,Juan Pablo Montoya,McLaren Mercedes,52,DNF,0
NC,22,Takuma Sato,Super Aguri Honda,45,DNF,0
NC,23,Franck Montagny,Super Aguri Honda,29,DNF,0
NC,12,Jenson Button,Honda,28,DNF,0
NC,15,Christian Klien,RBR Ferrari,28,DNF,0
NC,9,Mark Webber,Williams Cosworth,12,DNF,0
NC,14,David Coulthard,RBR Ferrari,2,DNF,0
NC,20,Vitantonio Liuzzi,STR Cosworth,0,DNF,0
