GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2007,Williams Toyota,DNF,0
Malaysia,08 Apr 2007,Williams Toyota,9,0
Bahrain,15 Apr 2007,Williams Toyota,11,0
Spain,13 May 2007,Williams Toyota,DNF,0
Monaco,27 May 2007,Williams Toyota,7,2
Canada,10 Jun 2007,Williams Toyota,3,6
United States,17 Jun 2007,Williams Toyota,10,0
France,01 Jul 2007,Williams Toyota,14,0
Great Britain,08 Jul 2007,Williams Toyota,13,0
Europe,22 Jul 2007,Williams Toyota,4,5
Hungary,05 Aug 2007,Williams Toyota,14,0
Turkey,26 Aug 2007,Williams Toyota,11,0
Italy,09 Sep 2007,Williams Toyota,13,0
Belgium,16 Sep 2007,Williams Toyota,DNF,0
China,07 Oct 2007,Williams Toyota,12,0
