GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2007,Super Aguri Honda,16,0
Malaysia,08 Apr 2007,Super Aguri Honda,16,0
Bahrain,15 Apr 2007,Super Aguri Honda,DNF,0
Spain,13 May 2007,Super Aguri Honda,11,0
Monaco,27 May 2007,Super Aguri Honda,18,0
Canada,10 Jun 2007,Super Aguri Honda,11,0
United States,17 Jun 2007,Super Aguri Honda,11,0
France,01 Jul 2007,Super Aguri Honda,DNF,0
Great Britain,08 Jul 2007,Super Aguri Honda,DNF,0
Europe,22 Jul 2007,Super Aguri Honda,12,0
Hungary,05 Aug 2007,Super Aguri Honda,DNF,0
Turkey,26 Aug 2007,Super Aguri Honda,14,0
Italy,09 Sep 2007,Super Aguri Honda,14,0
Belgium,16 Sep 2007,Super Aguri Honda,16,0
Japan,30 Sep 2007,Super Aguri Honda,DNF,0
China,07 Oct 2007,Super Aguri Honda,DNF,0
Brazil,21 Oct 2007,Super Aguri Honda,14,0
