GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2007,Super Aguri Honda,12,0
Malaysia,08 Apr 2007,Super Aguri Honda,13,0
Bahrain,15 Apr 2007,Super Aguri Honda,DNF,0
Spain,13 May 2007,Super Aguri Honda,8,1
Monaco,27 May 2007,Super Aguri Honda,17,0
Canada,10 Jun 2007,Super Aguri Honda,6,3
United States,17 Jun 2007,Super Aguri Honda,DNF,0
France,01 Jul 2007,Super Aguri Honda,16,0
Great Britain,08 Jul 2007,Super Aguri Honda,14,0
Europe,22 Jul 2007,Super Aguri Honda,DNF,0
Hungary,05 Aug 2007,Super Aguri Honda,15,0
Turkey,26 Aug 2007,Super Aguri Honda,18,0
Italy,09 Sep 2007,Super Aguri Honda,16,0
Belgium,16 Sep 2007,Super Aguri Honda,15,0
Japan,30 Sep 2007,Super Aguri Honda,DNF,0
China,07 Oct 2007,Super Aguri Honda,14,0
Brazil,21 Oct 2007,Super Aguri Honda,12,0
