GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,16 Mar 2008,Red Bull Renault,DNF,0
Malaysia,23 Mar 2008,Red Bull Renault,7,2
Bahrain,06 Apr 2008,Red Bull Renault,7,2
Spain,27 Apr 2008,Red Bull Renault,5,4
Turkey,11 May 2008,Red Bull Renault,7,2
Monaco,25 May 2008,Red Bull Renault,4,5
Canada,08 Jun 2008,Red Bull Renault,12,0
France,22 Jun 2008,Red Bull Renault,6,3
Great Britain,06 Jul 2008,Red Bull Renault,10,0
Germany,20 Jul 2008,Red Bull Renault,DNF,0
Hungary,03 Aug 2008,Red Bull Renault,9,0
Europe,24 Aug 2008,Red Bull Renault,12,0
Belgium,07 Sep 2008,Red Bull Renault,8,1
Italy,14 Sep 2008,Red Bull Renault,8,1
Singapore,28 Sep 2008,Red Bull Renault,DNF,0
Japan,12 Oct 2008,Red Bull Renault,8,1
China,19 Oct 2008,Red Bull Renault,14,0
Brazil,02 Nov 2008,Red Bull Renault,9,0
