GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,16 Mar 2008,Sauber BMW,2,8
Malaysia,23 Mar 2008,Sauber BMW,6,3
Bahrain,06 Apr 2008,Sauber BMW,4,5
Spain,27 Apr 2008,Sauber BMW,9,0
Turkey,11 May 2008,Sauber BMW,5,4
Monaco,25 May 2008,Sauber BMW,14,0
Canada,08 Jun 2008,Sauber BMW,2,8
France,22 Jun 2008,Sauber BMW,13,0
Great Britain,06 Jul 2008,Sauber BMW,2,8
Germany,20 Jul 2008,Sauber BMW,4,5
Hungary,03 Aug 2008,Sauber BMW,10,0
Europe,24 Aug 2008,Sauber BMW,9,0
Belgium,07 Sep 2008,Sauber BMW,2,8
Italy,14 Sep 2008,Sauber BMW,5,4
Singapore,28 Sep 2008,Sauber BMW,6,3
Japan,12 Oct 2008,Sauber BMW,9,0
China,19 Oct 2008,Sauber BMW,5,4
Brazil,02 Nov 2008,Sauber BMW,10,0
