GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,16 Mar 2008,Sauber BMW,DNF,0
Malaysia,23 Mar 2008,Sauber BMW,2,8
Bahrain,06 Apr 2008,Sauber BMW,3,6
Spain,27 Apr 2008,Sauber BMW,4,5
Turkey,11 May 2008,Sauber BMW,4,5
Monaco,25 May 2008,Sauber BMW,2,8
Canada,08 Jun 2008,Sauber BMW,1,10
France,22 Jun 2008,Sauber BMW,5,4
Great Britain,06 Jul 2008,Sauber BMW,DNF,0
Germany,20 Jul 2008,Sauber BMW,7,2
Hungary,03 Aug 2008,Sauber BMW,8,1
Europe,24 Aug 2008,Sauber BMW,3,6
Belgium,07 Sep 2008,Sauber BMW,6,3
Italy,14 Sep 2008,Sauber BMW,3,6
Singapore,28 Sep 2008,Sauber BMW,11,0
Japan,12 Oct 2008,Sauber BMW,2,8
China,19 Oct 2008,Sauber BMW,6,3
Brazil,02 Nov 2008,Sauber BMW,11,0
