GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,16 Mar 2008,STR Ferrari,DNF,2
Malaysia,23 Mar 2008,STR Ferrari,DNF,0
Bahrain,06 Apr 2008,STR Ferrari,15,0
Spain,27 Apr 2008,STR Ferrari,DNF,0
Turkey,11 May 2008,STR Ferrari,DNF,0
Monaco,25 May 2008,STR Ferrari,DNF,0
Canada,08 Jun 2008,STR Ferrari,13,0
France,22 Jun 2008,STR Ferrari,17,0
Great Britain,06 Jul 2008,STR Ferrari,11,0
Germany,20 Jul 2008,STR Ferrari,12,0
Hungary,03 Aug 2008,STR Ferrari,18,0
Europe,24 Aug 2008,STR Ferrari,10,0
Belgium,07 Sep 2008,STR Ferrari,7,2
Italy,14 Sep 2008,STR Ferrari,18,0
Singapore,28 Sep 2008,STR Ferrari,12,0
Japan,12 Oct 2008,STR Ferrari,10,0
China,19 Oct 2008,STR Ferrari,13,0
Brazil,02 Nov 2008,STR Ferrari,14,0
