GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,16 Mar 2008,Toyota,DNF,0
Malaysia,23 Mar 2008,Toyota,DNF,0
Bahrain,06 Apr 2008,Toyota,9,0
Spain,27 Apr 2008,Toyota,11,0
Turkey,11 May 2008,Toyota,13,0
Monaco,25 May 2008,Toyota,12,0
Canada,08 Jun 2008,Toyota,4,5
France,22 Jun 2008,Toyota,11,0
Great Britain,06 Jul 2008,Toyota,12,0
Germany,20 Jul 2008,Toyota,DNF,0
Hungary,03 Aug 2008,Toyota,2,8
Europe,24 Aug 2008,Toyota,7,2
Belgium,07 Sep 2008,Toyota,9,0
Italy,14 Sep 2008,Toyota,11,0
Singapore,28 Sep 2008,Toyota,4,5
Japan,12 Oct 2008,Toyota,DNF,0
China,19 Oct 2008,Toyota,7,2
Brazil,02 Nov 2008,Toyota,6,3
