POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,22,Lewis Hamilton,McLaren Mercedes,58,1:34:50.616,10
2,3,Nick Heidfeld,Sauber BMW,58,+5.478s,8
3,7,Nico Rosberg,Williams Toyota,58,+8.163s,6
4,5,Fernando Alonso,Renault,58,+17.181s,5
5,23,Heikki Kovalainen,McLaren Mercedes,58,+18.014s,4
6,8,Kazuki Nakajima,Williams Toyota,57,+1 lap,3
7,14,Sebastien Bourdais,STR Ferrari,55,DNF,2
8,1,Kimi Räikkönen,Ferrari,53,DNF,1
NC,4,Robert Kubica,Sauber BMW,47,DNF,0
NC,12,Timo Glock,Toyota,43,DNF,0
NC,18,Takuma Sato,Super Aguri Honda,32,DNF,0
NC,6,Nelson Piquet,Renault,30,DNF,0
NC,2,Felipe Massa,Ferrari,29,DNF,0
NC,9,David Coulthard,Red Bull Renault,25,DNF,0
NC,11,Jarno Trulli,Toyota,19,DNF,0
NC,20,Adrian Sutil,Force India Ferrari,8,DNF,0
NC,15,Sebastian Vettel,STR Ferrari,0,DNF,0
NC,16,Jenson Button,Honda,0,DNF,0
NC,10,Mark Webber,Red Bull Renault,0,DNF,0
NC,21,Giancarlo Fisichella,Force India Ferrari,0,DNF,0
NC,19,Anthony Davidson,Super Aguri Honda,0,DNF,0
