POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,Felipe Massa,Ferrari,58,1:26:49.451,10
2,22,Lewis Hamilton,McLaren Mercedes,58,+3.779s,8
3,1,Kimi Räikkönen,Ferrari,58,+4.271s,6
4,4,Robert Kubica,Sauber BMW,58,+21.945s,5
5,3,Nick Heidfeld,Sauber BMW,58,+38.741s,4
6,5,Fernando Alonso,Renault,58,+53.724s,3
7,10,Mark Webber,Red Bull Renault,58,+64.229s,2
8,7,Nico Rosberg,Williams Toyota,58,+71.406s,1
9,9,David Coulthard,Red Bull Renault,58,+75.270s,0
10,11,Jarno Trulli,Toyota,58,+76.344s,0
11,16,Jenson Button,Honda,57,+1 lap,0
12,23,Heikki Kovalainen,McLaren Mercedes,57,+1 lap,0
13,12,Timo Glock,Toyota,57,+1 lap,0
14,17,Rubens Barrichello,Honda,57,+1 lap,0
15,6,Nelson Piquet,Renault,57,+1 lap,0
16,20,Adrian Sutil,Force India Ferrari,57,+1 lap,0
17,15,Sebastian Vettel,STR Ferrari,57,+1 lap,0
NC,14,Sebastien Bourdais,STR Ferrari,24,DNF,0
NC,8,Kazuki Nakajima,Williams Toyota,1,DNF,0
NC,21,Giancarlo Fisichella,Force India Ferrari,0,DNF,0
