GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,29 Mar 2009,Force India Mercedes,11,0
Malaysia,05 Apr 2009,Force India Mercedes,DNF,0
China,19 Apr 2009,Force India Mercedes,14,0
Bahrain,26 Apr 2009,Force India Mercedes,15,0
Spain,10 May 2009,Force India Mercedes,14,0
Monaco,24 May 2009,Force India Mercedes,9,0
Turkey,07 Jun 2009,Force India Mercedes,DNF,0
Great Britain,21 Jun 2009,Force India Mercedes,10,0
Germany,12 Jul 2009,Force India Mercedes,11,0
Hungary,26 Jul 2009,Force India Mercedes,14,0
Europe,23 Aug 2009,Force India Mercedes,12,0
Belgium,30 Aug 2009,Force India Mercedes,2,8
Italy,13 Sep 2009,Ferrari,9,0
Singapore,27 Sep 2009,Ferrari,13,0
Japan,04 Oct 2009,Ferrari,12,0
Brazil,18 Oct 2009,Ferrari,10,0
Abu Dhabi,01 Nov 2009,Ferrari,16,0
