GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,29 Mar 2009,Toyota,3,6
Malaysia,05 Apr 2009,Toyota,4,2.5
China,19 Apr 2009,Toyota,DNF,0
Bahrain,26 Apr 2009,Toyota,3,6
Spain,10 May 2009,Toyota,DNF,0
Monaco,24 May 2009,Toyota,13,0
Turkey,07 Jun 2009,Toyota,4,5
Great Britain,21 Jun 2009,Toyota,7,2
Germany,12 Jul 2009,Toyota,17,0
Hungary,26 Jul 2009,Toyota,8,1
Europe,23 Aug 2009,Toyota,13,0
Belgium,30 Aug 2009,Toyota,DNF,0
Italy,13 Sep 2009,Toyota,14,0
Singapore,27 Sep 2009,Toyota,12,0
Japan,04 Oct 2009,Toyota,2,8
Brazil,18 Oct 2009,Toyota,DNF,0
Abu Dhabi,01 Nov 2009,Toyota,7,2
