GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,29 Mar 2009,Williams Toyota,DNF,0
Malaysia,05 Apr 2009,Williams Toyota,12,0
China,19 Apr 2009,Williams Toyota,DNF,0
Bahrain,26 Apr 2009,Williams Toyota,DNF,0
Spain,10 May 2009,Williams Toyota,13,0
Monaco,24 May 2009,Williams Toyota,DNF,0
Turkey,07 Jun 2009,Williams Toyota,12,0
Great Britain,21 Jun 2009,Williams Toyota,11,0
Germany,12 Jul 2009,Williams Toyota,12,0
Hungary,26 Jul 2009,Williams Toyota,9,0
Europe,23 Aug 2009,Williams Toyota,DNF,0
Belgium,30 Aug 2009,Williams Toyota,13,0
Italy,13 Sep 2009,Williams Toyota,10,0
Singapore,27 Sep 2009,Williams Toyota,9,0
Japan,04 Oct 2009,Williams Toyota,15,0
Brazil,18 Oct 2009,Williams Toyota,DNF,0
Abu Dhabi,01 Nov 2009,Williams Toyota,13,0
