GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,14 Mar 2010,Williams Cosworth,14,0
Australia,28 Mar 2010,Williams Cosworth,DNF,0
Malaysia,04 Apr 2010,Williams Cosworth,10,1
China,18 Apr 2010,Williams Cosworth,15,0
Spain,09 May 2010,Williams Cosworth,16,0
Monaco,16 May 2010,Williams Cosworth,DNF,0
Turkey,30 May 2010,Williams Cosworth,17,0
Canada,13 Jun 2010,Williams Cosworth,13,0
Europe,27 Jun 2010,Williams Cosworth,DNF,0
Great Britain,11 Jul 2010,Williams Cosworth,10,1
Germany,25 Jul 2010,Williams Cosworth,13,0
Hungary,01 Aug 2010,Williams Cosworth,6,8
Belgium,29 Aug 2010,Williams Cosworth,14,0
Italy,12 Sep 2010,Williams Cosworth,7,6
Singapore,26 Sep 2010,Williams Cosworth,10,1
Japan,10 Oct 2010,Williams Cosworth,DNF,0
South Korea,24 Oct 2010,Williams Cosworth,10,1
Brazil,07 Nov 2010,Williams Cosworth,8,4
Abu Dhabi,14 Nov 2010,Williams Cosworth,16,0
