GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,14 Mar 2010,RBR Renault,4,12
Australia,28 Mar 2010,RBR Renault,DNF,0
Malaysia,04 Apr 2010,RBR Renault,1,25
China,18 Apr 2010,RBR Renault,6,8
Spain,09 May 2010,RBR Renault,3,15
Monaco,16 May 2010,RBR Renault,2,18
Turkey,30 May 2010,RBR Renault,DNF,0
Canada,13 Jun 2010,RBR Renault,4,12
Europe,27 Jun 2010,RBR Renault,1,25
Great Britain,11 Jul 2010,RBR Renault,7,6
Germany,25 Jul 2010,RBR Renault,3,15
Hungary,01 Aug 2010,RBR Renault,3,15
Belgium,29 Aug 2010,RBR Renault,15,0
Italy,12 Sep 2010,RBR Renault,4,12
Singapore,26 Sep 2010,RBR Renault,2,18
Japan,10 Oct 2010,RBR Renault,1,25
South Korea,24 Oct 2010,RBR Renault,DNF,0
Brazil,07 Nov 2010,RBR Renault,1,25
Abu Dhabi,14 Nov 2010,RBR Renault,1,25
