GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,27 Mar 2011,Sauber Ferrari,DSQ,0
Malaysia,10 Apr 2011,Sauber Ferrari,DNF,0
China,17 Apr 2011,Sauber Ferrari,17,0
Turkey,08 May 2011,Sauber Ferrari,14,0
Spain,22 May 2011,Sauber Ferrari,9,2
Europe,26 Jun 2011,Sauber Ferrari,11,0
Great Britain,10 Jul 2011,Sauber Ferrari,7,6
Germany,24 Jul 2011,Sauber Ferrari,11,0
Hungary,31 Jul 2011,Sauber Ferrari,15,0
Belgium,28 Aug 2011,Sauber Ferrari,DNF,0
Italy,11 Sep 2011,Sauber Ferrari,DNF,0
Singapore,25 Sep 2011,Sauber Ferrari,10,1
Japan,09 Oct 2011,Sauber Ferrari,8,4
South Korea,16 Oct 2011,Sauber Ferrari,16,0
India,30 Oct 2011,Sauber Ferrari,10,1
Abu Dhabi,13 Nov 2011,Sauber Ferrari,11,0
Brazil,27 Nov 2011,Sauber Ferrari,13,0
