GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,27 Mar 2011,Renault,3,15
Malaysia,10 Apr 2011,Renault,DNF,0
China,17 Apr 2011,Renault,9,2
Turkey,08 May 2011,Renault,8,4
Spain,22 May 2011,Renault,11,0
Monaco,29 May 2011,Renault,DNF,0
Canada,12 Jun 2011,Renault,5,10
Europe,26 Jun 2011,Renault,15,0
Great Britain,10 Jul 2011,Renault,12,0
Germany,24 Jul 2011,Renault,10,1
Hungary,31 Jul 2011,Renault,12,0
Belgium,28 Aug 2011,Renault,9,2
Italy,11 Sep 2011,Renault,DNF,0
Singapore,25 Sep 2011,Renault,17,0
Japan,09 Oct 2011,Renault,9,2
South Korea,16 Oct 2011,Renault,DNF,0
India,30 Oct 2011,Renault,11,0
Abu Dhabi,13 Nov 2011,Renault,13,0
Brazil,27 Nov 2011,Renault,10,1
