POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Sebastian Vettel,Red Bull Racing Renault,55,1:38:01.994,25
2,3,Lewis Hamilton,McLaren Mercedes,55,+12.019s,18
3,2,Mark Webber,Red Bull Racing Renault,55,+12.477s,15
4,4,Jenson Button,McLaren Mercedes,55,+14.694s,12
5,5,Fernando Alonso,Ferrari,55,+15.689s,10
6,6,Felipe Massa,Ferrari,55,+25.133s,8
7,19,Jaime Alguersuari,STR Ferrari,55,+49.538s,6
8,8,Nico Rosberg,Mercedes,55,+54.053s,4
9,18,Sebastien Buemi,STR Ferrari,55,+62.762s,2
10,15,Paul di Resta,Force India Mercedes,55,+68.602s,1
11,14,Adrian Sutil,Force India Mercedes,55,+71.229s,0
12,11,Rubens Barrichello,Williams Cosworth,55,+93.068s,0
13,9,Bruno Senna,Renault,54,+1 lap,0
14,20,Heikki Kovalainen,Lotus Renault,54,+1 lap,0
15,16,Kamui Kobayashi,Sauber Ferrari,54,+1 lap,0
16,17,Sergio Perez,Sauber Ferrari,54,+1 lap,0
17,21,Jarno Trulli,Lotus Renault,54,+1 lap,0
18,24,Timo Glock,Virgin Cosworth,54,+1 lap,0
19,22,Daniel Ricciardo,HRT Cosworth,54,+1 lap,0
20,25,Jerome d'Ambrosio,Virgin Cosworth,54,+1 lap,0
21,23,Vitantonio Liuzzi,HRT Cosworth,52,+3 laps,0
NC,12,Pastor Maldonado,Williams Cosworth,30,DNF,0
NC,10,Vitaly Petrov,Renault,16,DNF,0
NC,7,Michael Schumacher,Mercedes,15,DNF,0
