GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2012,Williams Renault,DNF,0
Malaysia,25 Mar 2012,Williams Renault,6,8
China,15 Apr 2012,Williams Renault,7,6
Bahrain,22 Apr 2012,Williams Renault,DNF,0
Spain,13 May 2012,Williams Renault,DNF,0
Monaco,27 May 2012,Williams Renault,10,1
Canada,10 Jun 2012,Williams Renault,17,0
Europe,24 Jun 2012,Williams Renault,10,1
Great Britain,08 Jul 2012,Williams Renault,9,2
Germany,22 Jul 2012,Williams Renault,17,0
Hungary,29 Jul 2012,Williams Renault,7,6
Belgium,02 Sep 2012,Williams Renault,12,0
Italy,09 Sep 2012,Williams Renault,10,1
Singapore,23 Sep 2012,Williams Renault,DNF,0
Japan,07 Oct 2012,Williams Renault,14,0
South Korea,14 Oct 2012,Williams Renault,15,0
India,28 Oct 2012,Williams Renault,10,1
Abu Dhabi,04 Nov 2012,Williams Renault,8,4
United States,18 Nov 2012,Williams Renault,10,1
Brazil,25 Nov 2012,Williams Renault,DNF,0
