GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2012,Sauber Ferrari,6,8
Malaysia,25 Mar 2012,Sauber Ferrari,DNF,0
China,15 Apr 2012,Sauber Ferrari,10,1
Bahrain,22 Apr 2012,Sauber Ferrari,13,0
Spain,13 May 2012,Sauber Ferrari,5,10
Monaco,27 May 2012,Sauber Ferrari,DNF,0
Canada,10 Jun 2012,Sauber Ferrari,9,2
Europe,24 Jun 2012,Sauber Ferrari,DNF,0
Great Britain,08 Jul 2012,Sauber Ferrari,11,0
Germany,22 Jul 2012,Sauber Ferrari,4,12
Hungary,29 Jul 2012,Sauber Ferrari,DNF,0
Belgium,02 Sep 2012,Sauber Ferrari,13,0
Italy,09 Sep 2012,Sauber Ferrari,9,2
Singapore,23 Sep 2012,Sauber Ferrari,13,0
Japan,07 Oct 2012,Sauber Ferrari,3,15
South Korea,14 Oct 2012,Sauber Ferrari,DNF,0
India,28 Oct 2012,Sauber Ferrari,14,0
Abu Dhabi,04 Nov 2012,Sauber Ferrari,6,8
United States,18 Nov 2012,Sauber Ferrari,14,0
Brazil,25 Nov 2012,Sauber Ferrari,9,2
