GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2012,Force India Mercedes,10,1
Malaysia,25 Mar 2012,Force India Mercedes,7,6
China,15 Apr 2012,Force India Mercedes,12,0
Bahrain,22 Apr 2012,Force India Mercedes,6,8
Spain,13 May 2012,Force India Mercedes,14,0
Monaco,27 May 2012,Force India Mercedes,7,6
Canada,10 Jun 2012,Force India Mercedes,11,0
Europe,24 Jun 2012,Force India Mercedes,7,6
Great Britain,08 Jul 2012,Force India Mercedes,DNF,0
Germany,22 Jul 2012,Force India Mercedes,11,0
Hungary,29 Jul 2012,Force India Mercedes,12,0
Belgium,02 Sep 2012,Force India Mercedes,10,1
Italy,09 Sep 2012,Force India Mercedes,8,4
Singapore,23 Sep 2012,Force India Mercedes,4,12
Japan,07 Oct 2012,Force India Mercedes,12,0
South Korea,14 Oct 2012,Force India Mercedes,12,0
India,28 Oct 2012,Force India Mercedes,12,0
Abu Dhabi,04 Nov 2012,Force India Mercedes,9,2
United States,18 Nov 2012,Force India Mercedes,15,0
Brazil,25 Nov 2012,Force India Mercedes,DNF,0
