GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2012,Lotus Renault,DNF,0
Malaysia,25 Mar 2012,Lotus Renault,DNF,0
China,15 Apr 2012,Lotus Renault,6,8
Bahrain,22 Apr 2012,Lotus Renault,3,15
Spain,13 May 2012,Lotus Renault,4,12
Monaco,27 May 2012,Lotus Renault,DNF,0
Canada,10 Jun 2012,Lotus Renault,2,18
Europe,24 Jun 2012,Lotus Renault,DNF,0
Great Britain,08 Jul 2012,Lotus Renault,6,8
Germany,22 Jul 2012,Lotus Renault,18,0
Hungary,29 Jul 2012,Lotus Renault,3,15
Belgium,02 Sep 2012,Lotus Renault,DNF,0
Singapore,23 Sep 2012,Lotus Renault,7,6
Japan,07 Oct 2012,Lotus Renault,DNF,0
South Korea,14 Oct 2012,Lotus Renault,7,6
India,28 Oct 2012,Lotus Renault,9,2
Abu Dhabi,04 Nov 2012,Lotus Renault,DNF,0
United States,18 Nov 2012,Lotus Renault,7,6
Brazil,25 Nov 2012,Lotus Renault,DNF,0
