POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,8,Nico Rosberg,Mercedes,56,1:36:26.929,25
2,3,Jenson Button,McLaren Mercedes,56,+20.626s,18
3,4,Lewis Hamilton,McLaren Mercedes,56,+26.012s,15
4,2,Mark Webber,Red Bull Racing Renault,56,+27.924s,12
5,1,Sebastian Vettel,Red Bull Racing Renault,56,+30.483s,10
6,10,Romain Grosjean,Lotus Renault,56,+31.491s,8
7,19,Bruno Senna,Williams Renault,56,+34.597s,6
8,18,Pastor Maldonado,Williams Renault,56,+35.643s,4
9,5,Fernando Alonso,Ferrari,56,+37.256s,2
10,14,Kamui Kobayashi,Sauber Ferrari,56,+38.720s,1
11,15,Sergio Perez,Sauber Ferrari,56,+41.066s,0
12,11,Paul di Resta,Force India Mercedes,56,+42.273s,0
13,6,Felipe Massa,Ferrari,56,+42.779s,0
14,9,Kimi Räikkönen,Lotus Renault,56,+50.573s,0
15,12,Nico Hulkenberg,Force India Mercedes,56,+51.213s,0
16,17,Jean-Eric Vergne,STR Ferrari,56,+51.756s,0
17,16,Daniel Ricciardo,STR Ferrari,56,+63.156s,0
18,21,Vitaly Petrov,Caterham Renault,55,+1 lap,0
19,24,Timo Glock,Marussia Cosworth,55,+1 lap,0
20,25,Charles Pic,Marussia Cosworth,55,+1 lap,0
21,22,Pedro de la Rosa,HRT Cosworth,55,+1 lap,0
22,23,Narain Karthikeyan,HRT Cosworth,54,+2 laps,0
23,20,Heikki Kovalainen,Caterham Renault,53,+3 laps,0
NC,7,Michael Schumacher,Mercedes,12,DNF,0
