POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Sebastian Vettel,Red Bull Racing Renault,60,1:31:12.187,25
2,9,Nico Rosberg,Mercedes,60,+29.823s,18
3,8,Romain Grosjean,Lotus Renault,60,+39.892s,15
4,4,Felipe Massa,Ferrari,60,+41.692s,12
5,6,Sergio Perez,McLaren Mercedes,60,+43.829s,10
6,10,Lewis Hamilton,Mercedes,60,+52.475s,8
7,7,Kimi Räikkönen,Lotus Renault,60,+67.988s,6
8,14,Paul di Resta,Force India Mercedes,60,+72.868s,4
9,15,Adrian Sutil,Force India Mercedes,60,+74.734s,2
10,19,Daniel Ricciardo,STR Ferrari,60,+76.237s,1
11,3,Fernando Alonso,Ferrari,60,+78.297s,0
12,16,Pastor Maldonado,Williams Renault,60,+78.951s,0
13,18,Jean-Eric Vergne,STR Ferrari,59,+1 lap,0
14,5,Jenson Button,McLaren Mercedes,59,+1 lap,0
15,12,Esteban Gutierrez,Sauber Ferrari,59,+1 lap,0
16,17,Valtteri Bottas,Williams Renault,59,+1 lap,0
17,23,Max Chilton,Marussia Cosworth,58,+2 laps,0
18,22,Jules Bianchi,Marussia Cosworth,58,+2 laps,0
19,11,Nico Hulkenberg,Sauber Ferrari,54,DNF,0
NC,2,Mark Webber,Red Bull Racing Renault,39,DNF,0
NC,20,Charles Pic,Caterham Renault,35,DNF,0
NC,21,Giedo van der Garde,Caterham Renault,1,DNF,0
