POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Sebastian Vettel,Red Bull Racing Renault,53,1:18:33.352,25
2,3,Fernando Alonso,Ferrari,53,+5.467s,18
3,2,Mark Webber,Red Bull Racing Renault,53,+6.350s,15
4,4,Felipe Massa,Ferrari,53,+9.361s,12
5,11,Nico Hulkenberg,Sauber Ferrari,53,+10.355s,10
6,9,Nico Rosberg,Mercedes,53,+10.999s,8
7,19,Daniel Ricciardo,STR Ferrari,53,+32.329s,6
8,8,Romain Grosjean,Lotus Renault,53,+33.130s,4
9,10,Lewis Hamilton,Mercedes,53,+33.527s,2
10,5,Jenson Button,McLaren Mercedes,53,+38.327s,1
11,7,Kimi Räikkönen,Lotus Renault,53,+38.695s,0
12,6,Sergio Perez,McLaren Mercedes,53,+39.765s,0
13,12,Esteban Gutierrez,Sauber Ferrari,53,+40.880s,0
14,16,Pastor Maldonado,Williams Renault,53,+49.085s,0
15,17,Valtteri Bottas,Williams Renault,53,+56.827s,0
16,15,Adrian Sutil,Force India Mercedes,52,DNF,0
17,20,Charles Pic,Caterham Renault,52,+1 lap,0
18,21,Giedo van der Garde,Caterham Renault,52,+1 lap,0
19,22,Jules Bianchi,Marussia Cosworth,52,+1 lap,0
20,23,Max Chilton,Marussia Cosworth,52,+1 lap,0
NC,18,Jean-Eric Vergne,STR Ferrari,14,DNF,0
NC,14,Paul di Resta,Force India Mercedes,0,DNF,0
