GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,16 Mar 2014,Ferrari,7,6
Malaysia,30 Mar 2014,Ferrari,12,0
Bahrain,06 Apr 2014,Ferrari,10,1
China,20 Apr 2014,Ferrari,8,4
Spain,11 May 2014,Ferrari,7,6
Monaco,25 May 2014,Ferrari,12,0
Canada,08 Jun 2014,Ferrari,10,1
Austria,22 Jun 2014,Ferrari,10,1
Great Britain,06 Jul 2014,Ferrari,DNF,0
Germany,20 Jul 2014,Ferrari,11,0
Hungary,27 Jul 2014,Ferrari,6,8
Belgium,24 Aug 2014,Ferrari,4,12
Italy,07 Sep 2014,Ferrari,9,2
Singapore,21 Sep 2014,Ferrari,8,4
Japan,05 Oct 2014,Ferrari,12,0
Russia,21 Oct 2014,Ferrari,9,2
United States,02 Nov 2014,Ferrari,13,0
Brazil,09 Nov 2014,Ferrari,7,6
Abu Dhabi,23 Nov 2014,Ferrari,10,2
