GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,16 Mar 2014,Marussia Ferrari,13,0
Malaysia,30 Mar 2014,Marussia Ferrari,15,0
Bahrain,06 Apr 2014,Marussia Ferrari,13,0
China,20 Apr 2014,Marussia Ferrari,19,0
Spain,11 May 2014,Marussia Ferrari,19,0
Monaco,25 May 2014,Marussia Ferrari,14,0
Canada,08 Jun 2014,Marussia Ferrari,DNF,0
Austria,22 Jun 2014,Marussia Ferrari,17,0
Great Britain,06 Jul 2014,Marussia Ferrari,16,0
Germany,20 Jul 2014,Marussia Ferrari,17,0
Hungary,27 Jul 2014,Marussia Ferrari,16,0
Belgium,24 Aug 2014,Marussia Ferrari,16,0
Italy,07 Sep 2014,Marussia Ferrari,DNF,0
Singapore,21 Sep 2014,Marussia Ferrari,17,0
Japan,05 Oct 2014,Marussia Ferrari,18,0
Russia,21 Oct 2014,Marussia Ferrari,DNF,0
