GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,15 Mar 2015,Sauber Ferrari,5,10
Malaysia,29 Mar 2015,Sauber Ferrari,12,0
China,12 Apr 2015,Sauber Ferrari,8,4
Bahrain,19 Apr 2015,Sauber Ferrari,12,0
Spain,10 May 2015,Sauber Ferrari,12,0
Monaco,24 May 2015,Sauber Ferrari,9,2
Canada,07 Jun 2015,Sauber Ferrari,16,0
Austria,21 Jun 2015,Sauber Ferrari,11,0
Great Britain,05 Jul 2015,Sauber Ferrari,DNS,0
Hungary,26 Jul 2015,Sauber Ferrari,11,0
Belgium,23 Aug 2015,Sauber Ferrari,11,0
Italy,06 Sep 2015,Sauber Ferrari,13,0
Singapore,20 Sep 2015,Sauber Ferrari,10,1
Japan,27 Sep 2015,Sauber Ferrari,DNF,0
Russia,11 Oct 2015,Sauber Ferrari,6,8
United States,25 Oct 2015,Sauber Ferrari,9,2
Mexico,01 Nov 2015,Sauber Ferrari,DNF,0
Brazil,15 Nov 2015,Sauber Ferrari,13,0
Abu Dhabi,29 Nov 2015,Sauber Ferrari,15,0
