GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,15 Mar 2015,Mercedes,2,18
Malaysia,29 Mar 2015,Mercedes,3,15
China,12 Apr 2015,Mercedes,2,18
Bahrain,19 Apr 2015,Mercedes,3,15
Spain,10 May 2015,Mercedes,1,25
Monaco,24 May 2015,Mercedes,1,25
Canada,07 Jun 2015,Mercedes,2,18
Austria,21 Jun 2015,Mercedes,1,25
Great Britain,05 Jul 2015,Mercedes,2,18
Hungary,26 Jul 2015,Mercedes,8,4
Belgium,23 Aug 2015,Mercedes,2,18
Italy,06 Sep 2015,Mercedes,DNF,0
Singapore,20 Sep 2015,Mercedes,4,12
Japan,27 Sep 2015,Mercedes,2,18
Russia,11 Oct 2015,Mercedes,DNF,0
United States,25 Oct 2015,Mercedes,2,18
Mexico,01 Nov 2015,Mercedes,1,25
Brazil,15 Nov 2015,Mercedes,1,25
Abu Dhabi,29 Nov 2015,Mercedes,1,25
