GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Malaysia,29 Mar 2015,Marussia Ferrari,15,0
China,12 Apr 2015,Marussia Ferrari,16,0
Bahrain,19 Apr 2015,Marussia Ferrari,17,0
Spain,10 May 2015,Marussia Ferrari,18,0
Monaco,24 May 2015,Marussia Ferrari,16,0
Canada,07 Jun 2015,Marussia Ferrari,DNF,0
Austria,21 Jun 2015,Marussia Ferrari,14,0
Great Britain,05 Jul 2015,Marussia Ferrari,12,0
Hungary,26 Jul 2015,Marussia Ferrari,15,0
Belgium,23 Aug 2015,Marussia Ferrari,15,0
Italy,06 Sep 2015,Marussia Ferrari,16,0
Russia,11 Oct 2015,Marussia Ferrari,13,0
Abu Dhabi,29 Nov 2015,Marussia Ferrari,19,0
