GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,20 Mar 2016,MRT Mercedes,16,0
Bahrain,03 Apr 2016,MRT Mercedes,13,0
China,17 Apr 2016,MRT Mercedes,18,0
Russia,01 May 2016,MRT Mercedes,18,0
Spain,15 May 2016,MRT Mercedes,16,0
Monaco,29 May 2016,MRT Mercedes,14,0
Canada,12 Jun 2016,MRT Mercedes,17,0
Europe,19 Jun 2016,MRT Mercedes,DNF,0
Austria,03 Jul 2016,MRT Mercedes,10,1
Great Britain,10 Jul 2016,MRT Mercedes,DNF,0
Hungary,24 Jul 2016,MRT Mercedes,19,0
Germany,31 Jul 2016,MRT Mercedes,17,0
Belgium,28 Aug 2016,MRT Mercedes,DNF,0
Italy,04 Sep 2016,MRT Mercedes,DNF,0
Singapore,18 Sep 2016,MRT Mercedes,16,0
Malaysia,02 Oct 2016,MRT Mercedes,15,0
Japan,09 Oct 2016,MRT Mercedes,22,0
United States,23 Oct 2016,MRT Mercedes,17,0
Mexico,30 Oct 2016,MRT Mercedes,DNF,0
Brazil,13 Nov 2016,MRT Mercedes,15,0
Abu Dhabi,27 Nov 2016,MRT Mercedes,14,0
