POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Nico Rosberg,Mercedes,61,1:55:48.950,25
2,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,61,+0.488s,18
3,44,Lewis Hamilton,Mercedes,61,+8.038s,15
4,7,Kimi Räikkönen,Ferrari,61,+10.219s,12
5,5,Sebastian Vettel,Ferrari,61,+27.694s,10
6,33,Max Verstappen,Red Bull Racing TAG Heuer,61,+71.197s,8
7,14,Fernando Alonso,McLaren Honda,61,+89.198s,6
8,11,Sergio Perez,Force India Mercedes,61,+111.062s,4
9,26,Daniil Kvyat,Toro Rosso Ferrari,61,+111.557s,2
10,20,Kevin Magnussen,Renault,61,+119.952s,1
11,21,Esteban Gutierrez,Haas Ferrari,60,+1 lap,0
12,19,Felipe Massa,Williams Mercedes,60,+1 lap,0
13,12,Felipe Nasr,Sauber Ferrari,60,+1 lap,0
14,55,Carlos Sainz,Toro Rosso Ferrari,60,+1 lap,0
15,30,Jolyon Palmer,Renault,60,+1 lap,0
16,94,Pascal Wehrlein,MRT Mercedes,60,+1 lap,0
17,9,Marcus Ericsson,Sauber Ferrari,60,+1 lap,0
18,31,Esteban Ocon,MRT Mercedes,59,+2 laps,0
NC,22,Jenson Button,McLaren Honda,43,DNF,0
NC,77,Valtteri Bottas,Williams Mercedes,35,DNF,0
NC,27,Nico Hulkenberg,Force India Mercedes,0,DNF,0
NC,8,Romain Grosjean,Haas Ferrari,0,DNS,0
