POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,67,1:30:44.200,25
2,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,67,+6.996s,18
3,33,Max Verstappen,Red Bull Racing TAG Heuer,67,+13.413s,15
4,6,Nico Rosberg,Mercedes,67,+15.845s,12
5,5,Sebastian Vettel,Ferrari,67,+32.570s,10
6,7,Kimi Räikkönen,Ferrari,67,+37.023s,8
7,27,Nico Hulkenberg,Force India Mercedes,67,+70.049s,6
8,22,Jenson Button,McLaren Honda,66,+1 lap,4
9,77,Valtteri Bottas,Williams Mercedes,66,+1 lap,2
10,11,Sergio Perez,Force India Mercedes,66,+1 lap,1
11,21,Esteban Gutierrez,Haas Ferrari,66,+1 lap,0
12,14,Fernando Alonso,McLaren Honda,66,+1 lap,0
13,8,Romain Grosjean,Haas Ferrari,66,+1 lap,0
14,55,Carlos Sainz,Toro Rosso Ferrari,66,+1 lap,0
15,26,Daniil Kvyat,Toro Rosso Ferrari,66,+1 lap,0
16,20,Kevin Magnussen,Renault,66,+1 lap,0
17,94,Pascal Wehrlein,MRT Mercedes,65,+2 laps,0
18,9,Marcus Ericsson,Sauber Ferrari,65,+2 laps,0
19,30,Jolyon Palmer,Renault,65,+2 laps,0
20,88,Rio Haryanto,MRT Mercedes,65,+2 laps,0
NC,12,Felipe Nasr,Sauber Ferrari,57,DNF,0
NC,19,Felipe Massa,Williams Mercedes,36,DNF,0
