GRAND PRIX,DATE,PTS
Australia,20 Mar 2016,15
Bahrain,03 Apr 2016,18
China,17 Apr 2016,28
Russia,01 May 2016,15
Spain,15 May 2016,33
Monaco,29 May 2016,12
Canada,12 Jun 2016,26
Europe,19 Jun 2016,30
Austria,03 Jul 2016,15
Great Britain,10 Jul 2016,12
Hungary,24 Jul 2016,20
Germany,31 Jul 2016,18
Belgium,28 Aug 2016,10
Italy,04 Sep 2016,27
Singapore,18 Sep 2016,22
Malaysia,02 Oct 2016,12
Japan,09 Oct 2016,22
United States,23 Oct 2016,12
Mexico,30 Oct 2016,18
Brazil,13 Nov 2016,10
Abu Dhabi,27 Nov 2016,23
