GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,26 Mar 2017,Toro Rosso,8,4
China,09 Apr 2017,Toro Rosso,7,6
Bahrain,16 Apr 2017,Toro Rosso,DNF,0
Russia,30 Apr 2017,Toro Rosso,10,1
Spain,14 May 2017,Toro Rosso,7,6
Monaco,28 May 2017,Toro Rosso,6,8
Canada,11 Jun 2017,Toro Rosso,DNF,0
Azerbaijan,25 Jun 2017,Toro Rosso,8,4
Austria,09 Jul 2017,Toro Rosso,DNF,0
Great Britain,16 Jul 2017,Toro Rosso,DNF,0
Hungary,30 Jul 2017,Toro Rosso,7,6
Belgium,27 Aug 2017,Toro Rosso,10,1
Italy,03 Sep 2017,Toro Rosso,14,0
Singapore,17 Sep 2017,Toro Rosso,4,12
Malaysia,01 Oct 2017,Toro Rosso,DNF,0
Japan,08 Oct 2017,Toro Rosso,DNF,0
United States,22 Oct 2017,Renault,7,6
Mexico,29 Oct 2017,Renault,DNF,0
Brazil,12 Nov 2017,Renault,11,0
Abu Dhabi,26 Nov 2017,Renault,DNF,0
