GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,26 Mar 2017,Toro Rosso,9,2
China,09 Apr 2017,Toro Rosso,DNF,0
Bahrain,16 Apr 2017,Toro Rosso,12,0
Russia,30 Apr 2017,Toro Rosso,12,0
Spain,14 May 2017,Toro Rosso,9,2
Monaco,28 May 2017,Toro Rosso,DNF,0
Canada,11 Jun 2017,Toro Rosso,DNF,0
Azerbaijan,25 Jun 2017,Toro Rosso,DNF,0
Austria,09 Jul 2017,Toro Rosso,16,0
Great Britain,16 Jul 2017,Toro Rosso,15,0
Hungary,30 Jul 2017,Toro Rosso,11,0
Belgium,27 Aug 2017,Toro Rosso,12,0
Italy,03 Sep 2017,Toro Rosso,12,0
Singapore,17 Sep 2017,Toro Rosso,DNF,0
United States,22 Oct 2017,Toro Rosso,10,1
