GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,26 Mar 2017,Renault,DNF,0
China,09 Apr 2017,Renault,13,0
Bahrain,16 Apr 2017,Renault,13,0
Russia,30 Apr 2017,Renault,DNF,0
Spain,14 May 2017,Renault,15,0
Monaco,28 May 2017,Renault,11,0
Canada,11 Jun 2017,Renault,11,0
Azerbaijan,25 Jun 2017,Renault,DNF,0
Austria,09 Jul 2017,Renault,11,0
Great Britain,16 Jul 2017,Renault,DNS,0
Hungary,30 Jul 2017,Renault,12,0
Belgium,27 Aug 2017,Renault,13,0
Italy,03 Sep 2017,Renault,DNF,0
Singapore,17 Sep 2017,Renault,6,8
Malaysia,01 Oct 2017,Renault,15,0
Japan,08 Oct 2017,Renault,12,0
