GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,26 Mar 2017,Haas Ferrari,DNF,0
China,09 Apr 2017,Haas Ferrari,8,4
Bahrain,16 Apr 2017,Haas Ferrari,DNF,0
Russia,30 Apr 2017,Haas Ferrari,13,0
Spain,14 May 2017,Haas Ferrari,14,0
Monaco,28 May 2017,Haas Ferrari,10,1
Canada,11 Jun 2017,Haas Ferrari,12,0
Azerbaijan,25 Jun 2017,Haas Ferrari,7,6
Austria,09 Jul 2017,Haas Ferrari,DNF,0
Great Britain,16 Jul 2017,Haas Ferrari,12,0
Hungary,30 Jul 2017,Haas Ferrari,13,0
Belgium,27 Aug 2017,Haas Ferrari,15,0
Italy,03 Sep 2017,Haas Ferrari,11,0
Singapore,17 Sep 2017,Haas Ferrari,DNF,0
Malaysia,01 Oct 2017,Haas Ferrari,12,0
Japan,08 Oct 2017,Haas Ferrari,8,4
United States,22 Oct 2017,Haas Ferrari,16,0
Mexico,29 Oct 2017,Haas Ferrari,8,4
Brazil,12 Nov 2017,Haas Ferrari,DNF,0
Abu Dhabi,26 Nov 2017,Haas Ferrari,13,0
