GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,26 Mar 2017,Red Bull Racing TAG Heuer,5,10
China,09 Apr 2017,Red Bull Racing TAG Heuer,3,15
Bahrain,16 Apr 2017,Red Bull Racing TAG Heuer,DNF,0
Russia,30 Apr 2017,Red Bull Racing TAG Heuer,5,10
Spain,14 May 2017,Red Bull Racing TAG Heuer,DNF,0
Monaco,28 May 2017,Red Bull Racing TAG Heuer,5,10
Canada,11 Jun 2017,Red Bull Racing TAG Heuer,DNF,0
Azerbaijan,25 Jun 2017,Red Bull Racing TAG Heuer,DNF,0
Austria,09 Jul 2017,Red Bull Racing TAG Heuer,DNF,0
Great Britain,16 Jul 2017,Red Bull Racing TAG Heuer,4,12
Hungary,30 Jul 2017,Red Bull Racing TAG Heuer,5,10
Belgium,27 Aug 2017,Red Bull Racing TAG Heuer,DNF,0
Italy,03 Sep 2017,Red Bull Racing TAG Heuer,10,1
Singapore,17 Sep 2017,Red Bull Racing TAG Heuer,DNF,0
Malaysia,01 Oct 2017,Red Bull Racing TAG Heuer,1,25
Japan,08 Oct 2017,Red Bull Racing TAG Heuer,2,18
United States,22 Oct 2017,Red Bull Racing TAG Heuer,4,12
Mexico,29 Oct 2017,Red Bull Racing TAG Heuer,1,25
Brazil,12 Nov 2017,Red Bull Racing TAG Heuer,5,10
Abu Dhabi,26 Nov 2017,Red Bull Racing TAG Heuer,5,10
