GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,25 Mar 2018,Scuderia Toro Rosso Honda,15,0
Bahrain,08 Apr 2018,Scuderia Toro Rosso Honda,17,0
China,15 Apr 2018,Scuderia Toro Rosso Honda,DNF,0
Azerbaijan,29 Apr 2018,Scuderia Toro Rosso Honda,10,1
Spain,13 May 2018,Scuderia Toro Rosso Honda,12,0
Monaco,27 May 2018,Scuderia Toro Rosso Honda,DNF,0
Canada,10 Jun 2018,Scuderia Toro Rosso Honda,DNF,0
France,24 Jun 2018,Scuderia Toro Rosso Honda,14,0
Austria,01 Jul 2018,Scuderia Toro Rosso Honda,DNF,0
Great Britain,08 Jul 2018,Scuderia Toro Rosso Honda,DNF,0
Germany,22 Jul 2018,Scuderia Toro Rosso Honda,10,1
Hungary,29 Jul 2018,Scuderia Toro Rosso Honda,11,0
Belgium,26 Aug 2018,Scuderia Toro Rosso Honda,14,0
Italy,02 Sep 2018,Scuderia Toro Rosso Honda,DNF,0
Singapore,16 Sep 2018,Scuderia Toro Rosso Honda,17,0
Russia,30 Sep 2018,Scuderia Toro Rosso Honda,DNF,0
Japan,07 Oct 2018,Scuderia Toro Rosso Honda,13,0
United States,21 Oct 2018,Scuderia Toro Rosso Honda,9,2
Mexico,28 Oct 2018,Scuderia Toro Rosso Honda,14,0
Brazil,11 Nov 2018,Scuderia Toro Rosso Honda,11,0
Abu Dhabi,25 Nov 2018,Scuderia Toro Rosso Honda,12,0
