GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,25 Mar 2018,Williams Mercedes,14,0
Bahrain,08 Apr 2018,Williams Mercedes,14,0
China,15 Apr 2018,Williams Mercedes,14,0
Azerbaijan,29 Apr 2018,Williams Mercedes,8,4
Spain,13 May 2018,Williams Mercedes,11,0
Monaco,27 May 2018,Williams Mercedes,17,0
Canada,10 Jun 2018,Williams Mercedes,DNF,0
France,24 Jun 2018,Williams Mercedes,DNF,0
Austria,01 Jul 2018,Williams Mercedes,14,0
Great Britain,08 Jul 2018,Williams Mercedes,12,0
Germany,22 Jul 2018,Williams Mercedes,DNF,0
Hungary,29 Jul 2018,Williams Mercedes,17,0
Belgium,26 Aug 2018,Williams Mercedes,13,0
Italy,02 Sep 2018,Williams Mercedes,9,2
Singapore,16 Sep 2018,Williams Mercedes,14,0
Russia,30 Sep 2018,Williams Mercedes,15,0
Japan,07 Oct 2018,Williams Mercedes,17,0
United States,21 Oct 2018,Williams Mercedes,14,0
Mexico,28 Oct 2018,Williams Mercedes,12,0
Brazil,11 Nov 2018,Williams Mercedes,18,0
Abu Dhabi,25 Nov 2018,Williams Mercedes,13,0
