GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,25 Mar 2018,McLaren Renault,9,2
Bahrain,08 Apr 2018,McLaren Renault,8,4
China,15 Apr 2018,McLaren Renault,13,0
Azerbaijan,29 Apr 2018,McLaren Renault,9,2
Spain,13 May 2018,McLaren Renault,DNF,0
Monaco,27 May 2018,McLaren Renault,14,0
Canada,10 Jun 2018,McLaren Renault,16,0
France,24 Jun 2018,McLaren Renault,12,0
Austria,01 Jul 2018,McLaren Renault,DNF,0
Great Britain,08 Jul 2018,McLaren Renault,11,0
Germany,22 Jul 2018,McLaren Renault,13,0
Hungary,29 Jul 2018,McLaren Renault,DNF,0
Belgium,26 Aug 2018,McLaren Renault,15,0
Italy,02 Sep 2018,McLaren Renault,12,0
Singapore,16 Sep 2018,McLaren Renault,12,0
Russia,30 Sep 2018,McLaren Renault,16,0
Japan,07 Oct 2018,McLaren Renault,15,0
United States,21 Oct 2018,McLaren Renault,11,0
Mexico,28 Oct 2018,McLaren Renault,8,4
Brazil,11 Nov 2018,McLaren Renault,15,0
Abu Dhabi,25 Nov 2018,McLaren Renault,14,0
