GRAND PRIX,DATE,PTS
Australia,25 Mar 2018,22
Bahrain,08 Apr 2018,33
China,15 Apr 2018,30
Azerbaijan,29 Apr 2018,25
Spain,13 May 2018,43
Monaco,27 May 2018,25
Canada,10 Jun 2018,28
France,24 Jun 2018,31
Austria,01 Jul 2018,0
Great Britain,08 Jul 2018,30
Germany,22 Jul 2018,43
Hungary,29 Jul 2018,35
Belgium,26 Aug 2018,30
Italy,02 Sep 2018,40
Singapore,16 Sep 2018,37
Russia,30 Sep 2018,43
Japan,07 Oct 2018,43
United States,21 Oct 2018,25
Mexico,28 Oct 2018,22
Brazil,11 Nov 2018,35
Abu Dhabi,25 Nov 2018,35
