POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,77,Valtteri Bottas,Mercedes,51,1:31:52.942,25
2,44,Lewis Hamilton,Mercedes,51,+1.524s,18
3,5,Sebastian Vettel,Ferrari,51,+11.739s,15
4,33,Max Verstappen,Red Bull Racing Honda,51,+17.493s,12
5,16,Charles Leclerc,Ferrari,51,+69.107s,11
6,11,Sergio Perez,Racing Point BWT Mercedes,51,+76.416s,8
7,55,Carlos Sainz,McLaren Renault,51,+83.826s,6
8,4,Lando Norris,McLaren Renault,51,+100.268s,4
9,18,Lance Stroll,Racing Point BWT Mercedes,51,+103.816s,2
10,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,50,+1 lap,1
11,23,Alexander Albon,Scuderia Toro Rosso Honda,50,+1 lap,0
12,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,50,+1 lap,0
13,20,Kevin Magnussen,Haas Ferrari,50,+1 lap,0
14,27,Nico Hulkenberg,Renault,50,+1 lap,0
15,63,George Russell,Williams Mercedes,49,+2 laps,0
16,88,Robert Kubica,Williams Mercedes,49,+2 laps,0
NC,10,Pierre Gasly,Red Bull Racing Honda,38,DNF,0
NC,8,Romain Grosjean,Haas Ferrari,38,DNF,0
NC,26,Daniil Kvyat,Scuderia Toro Rosso Honda,33,DNF,0
NC,3,Daniel Ricciardo,Renault,31,DNF,0
