POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,56,1:32:06.350,25
2,77,Valtteri Bottas,Mercedes,56,+6.552s,18
3,5,Sebastian Vettel,Ferrari,56,+13.744s,15
4,33,Max Verstappen,Red Bull Racing Honda,56,+27.627s,12
5,16,Charles Leclerc,Ferrari,56,+31.276s,10
6,10,Pierre Gasly,Red Bull Racing Honda,56,+89.307s,9
7,3,Daniel Ricciardo,Renault,55,+1 lap,6
8,11,Sergio Perez,Racing Point BWT Mercedes,55,+1 lap,4
9,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,55,+1 lap,2
10,23,Alexander Albon,Scuderia Toro Rosso Honda,55,+1 lap,1
11,8,Romain Grosjean,Haas Ferrari,55,+1 lap,0
12,18,Lance Stroll,Racing Point BWT Mercedes,55,+1 lap,0
13,20,Kevin Magnussen,Haas Ferrari,55,+1 lap,0
14,55,Carlos Sainz,McLaren Renault,55,+1 lap,0
15,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,55,+1 lap,0
16,63,George Russell,Williams Mercedes,54,+2 laps,0
17,88,Robert Kubica,Williams Mercedes,54,+2 laps,0
18,4,Lando Norris,McLaren Renault,50,DNF,0
NC,26,Daniil Kvyat,Scuderia Toro Rosso Honda,41,DNF,0
NC,27,Nico Hulkenberg,Renault,16,DNF,0
