POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,71,1:36:48.904,25
2,5,Sebastian Vettel,Ferrari,71,+1.766s,18
3,77,Valtteri Bottas,Mercedes,71,+3.553s,15
4,16,Charles Leclerc,Ferrari,71,+6.368s,13
5,23,Alexander Albon,Red Bull Racing Honda,71,+21.399s,10
6,33,Max Verstappen,Red Bull Racing Honda,71,+68.807s,8
7,11,Sergio Perez,Racing Point BWT Mercedes,71,+73.819s,6
8,3,Daniel Ricciardo,Renault,71,+74.924s,4
9,10,Pierre Gasly,Scuderia Toro Rosso Honda,70,+1 lap,2
10,27,Nico Hulkenberg,Renault,70,+1 lap,1
11,26,Daniil Kvyat,Scuderia Toro Rosso Honda,70,+1 lap,0
12,18,Lance Stroll,Racing Point BWT Mercedes,70,+1 lap,0
13,55,Carlos Sainz,McLaren Renault,70,+1 lap,0
14,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,70,+1 lap,0
15,20,Kevin Magnussen,Haas Ferrari,69,+2 laps,0
16,63,George Russell,Williams Mercedes,69,+2 laps,0
17,8,Romain Grosjean,Haas Ferrari,69,+2 laps,0
18,88,Robert Kubica,Williams Mercedes,69,+2 laps,0
NC,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,58,DNF,0
NC,4,Lando Norris,McLaren Renault,48,DNF,0
