GRAND PRIX,DATE,PTS
Australia,17 Mar 2019,15
Bahrain,31 Mar 2019,16
China,14 Apr 2019,21
Azerbaijan,28 Apr 2019,12
Spain,12 May 2019,23
Monaco,26 May 2019,23
Canada,09 Jun 2019,14
France,23 Jun 2019,13
Austria,30 Jun 2019,32
Great Britain,14 Jul 2019,22
Germany,28 Jul 2019,26
Hungary,04 Aug 2019,27
Belgium,01 Sep 2019,10
Italy,08 Sep 2019,12
Singapore,22 Sep 2019,23
Russia,29 Sep 2019,22
Japan,13 Oct 2019,12
Mexico,27 Oct 2019,18
United States,03 Nov 2019,25
Brazil,17 Nov 2019,25
Abu Dhabi,01 Dec 2019,26
