GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Austria,05 Jul 2020,Red Bull Racing Honda,DNF,0
Styria,12 Jul 2020,Red Bull Racing Honda,4,12
Hungary,19 Jul 2020,Red Bull Racing Honda,5,10
Great Britain,02 Aug 2020,Red Bull Racing Honda,8,4
70th Anniversary,09 Aug 2020,Red Bull Racing Honda,5,10
Spain,16 Aug 2020,Red Bull Racing Honda,8,4
Belgium,30 Aug 2020,Red Bull Racing Honda,6,8
Italy,06 Sep 2020,Red Bull Racing Honda,15,0
Tuscany,13 Sep 2020,Red Bull Racing Honda,3,15
Russia,27 Sep 2020,Red Bull Racing Honda,10,1
Eifel,11 Oct 2020,Red Bull Racing Honda,DNF,0
Portugal,25 Oct 2020,Red Bull Racing Honda,12,0
Emilia Romagna,01 Nov 2020,Red Bull Racing Honda,15,0
Turkey,15 Nov 2020,Red Bull Racing Honda,7,6
Bahrain,29 Nov 2020,Red Bull Racing Honda,3,15
Sakhir,06 Dec 2020,Red Bull Racing Honda,6,8
Abu Dhabi,13 Dec 2020,Red Bull Racing Honda,4,12
