GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Austria,05 Jul 2020,Alfa Romeo Racing Ferrari,9,2
Styria,12 Jul 2020,Alfa Romeo Racing Ferrari,14,0
Hungary,19 Jul 2020,Alfa Romeo Racing Ferrari,17,0
Great Britain,02 Aug 2020,Alfa Romeo Racing Ferrari,14,0
70th Anniversary,09 Aug 2020,Alfa Romeo Racing Ferrari,17,0
Spain,16 Aug 2020,Alfa Romeo Racing Ferrari,16,0
Belgium,30 Aug 2020,Alfa Romeo Racing Ferrari,DNF,0
Italy,06 Sep 2020,Alfa Romeo Racing Ferrari,16,0
Tuscany,13 Sep 2020,Alfa Romeo Racing Ferrari,DNF,0
Russia,27 Sep 2020,Alfa Romeo Racing Ferrari,11,0
Eifel,11 Oct 2020,Alfa Romeo Racing Ferrari,10,1
Portugal,25 Oct 2020,Alfa Romeo Racing Ferrari,15,0
Emilia Romagna,01 Nov 2020,Alfa Romeo Racing Ferrari,10,1
Turkey,15 Nov 2020,Alfa Romeo Racing Ferrari,DNF,0
Bahrain,29 Nov 2020,Alfa Romeo Racing Ferrari,16,0
Sakhir,06 Dec 2020,Alfa Romeo Racing Ferrari,13,0
Abu Dhabi,13 Dec 2020,Alfa Romeo Racing Ferrari,16,0
