POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,33,Max Verstappen,Red Bull Racing Honda,52,1:19:41.993,25
2,44,Lewis Hamilton,Mercedes,52,+11.326s,19
3,77,Valtteri Bottas,Mercedes,52,+19.231s,15
4,16,Charles Leclerc,Ferrari,52,+29.289s,12
5,23,Alexander Albon,Red Bull Racing Honda,52,+39.146s,10
6,18,Lance Stroll,Racing Point BWT Mercedes,52,+42.538s,8
7,27,Nico Hulkenberg,Racing Point BWT Mercedes,52,+55.951s,6
8,31,Esteban Ocon,Renault,52,+64.773s,4
9,4,Lando Norris,McLaren Renault,52,+65.544s,2
10,26,Daniil Kvyat,AlphaTauri Honda,52,+69.669s,1
11,10,Pierre Gasly,AlphaTauri Honda,52,+70.642s,0
12,5,Sebastian Vettel,Ferrari,52,+73.370s,0
13,55,Carlos Sainz,McLaren Renault,52,+74.070s,0
14,3,Daniel Ricciardo,Renault,51,+1 lap,0
15,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,51,+1 lap,0
16,8,Romain Grosjean,Haas Ferrari,51,+1 lap,0
17,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,51,+1 lap,0
18,63,George Russell,Williams Mercedes,51,+1 lap,0
19,6,Nicholas Latifi,Williams Mercedes,51,+1 lap,0
NC,20,Kevin Magnussen,Haas Ferrari,43,DNF,0
