POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,60,1:35:49.641,25
2,33,Max Verstappen,Red Bull Racing Honda,60,+4.470s,19
3,3,Daniel Ricciardo,Renault,60,+14.613s,15
4,11,Sergio Perez,Racing Point BWT Mercedes,60,+16.070s,12
5,55,Carlos Sainz,McLaren Renault,60,+21.905s,10
6,10,Pierre Gasly,AlphaTauri Honda,60,+22.766s,8
7,16,Charles Leclerc,Ferrari,60,+30.814s,6
8,27,Nico Hulkenberg,Racing Point BWT Mercedes,60,+32.596s,4
9,8,Romain Grosjean,Haas Ferrari,60,+39.081s,2
10,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,60,+40.035s,1
11,5,Sebastian Vettel,Ferrari,60,+40.810s,0
12,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,60,+41.476s,0
13,20,Kevin Magnussen,Haas Ferrari,60,+49.585s,0
14,6,Nicholas Latifi,Williams Mercedes,60,+54.449s,0
15,26,Daniil Kvyat,AlphaTauri Honda,60,+55.588s,0
NC,4,Lando Norris,McLaren Renault,42,DNF,0
NC,23,Alexander Albon,Red Bull Racing Honda,23,DNF,0
NC,31,Esteban Ocon,Renault,22,DNF,0
NC,77,Valtteri Bottas,Mercedes,18,DNF,0
NC,63,George Russell,Williams Mercedes,12,DNF,0
